Mol_ID,Hybridization,Experimental_1JCH,Avg_NWChemPrediction,Observed - Predicted,Avg_NWChemPrediction_Fit,Observed - Predicted_fit
161_NWChem_1JCH_mulliken,SP2,203.5,203.0899,0.4101,201.407206,2.092793957
129_NWChem_1JCH_mulliken,SP2,159,158.5317,0.4683,158.8419607,0.158039346
96_NWChem_1JCH_mulliken,SP2,155.2,154.72585,0.47415,155.2063349,-0.006334907
129_NWChem_1JCH_mulliken,SP2,158.8,158.3038,0.4962,158.6242539,0.175746063
127_NWChem_1JCH_mulliken,SP2,159.5,158.9719,0.5281,159.2624718,0.237528171
148_NWChem_1JCH_mulliken,SP2,166.2,165.6711,0.5289,165.6620367,0.53796329
180_NWChem_1JCH_mulliken,SP2,161.4,160.8688,0.5312,161.0745292,0.325470818
181_NWChem_1JCH_mulliken,SP2,161.1,160.5484,0.5516,160.7684597,0.331540287
132_NWChem_1JCH_mulliken,SP2,167,166.446,0.554,166.4022778,0.597722242
132_NWChem_1JCH_mulliken,SP2,167,166.4454,0.5546,166.4017046,0.598295406
98_NWChem_1JCH_mulliken,SP2,160,159.4454,0.5546,159.7147936,0.285206406
133_NWChem_1JCH_mulliken,SP2,161.1,160.5395,0.5605,160.7599578,0.340042216
131_NWChem_1JCH_mulliken,SP2,152.4,151.8178,0.5822,152.4283533,-0.028353259
127_NWChem_1JCH_mulliken,SP2,158.8,158.21,0.59,158.5346493,0.26535067
177_NWChem_1JCH_mulliken,SP2,160.4,159.7953,0.6047,160.0490436,0.350956383
133_NWChem_1JCH_mulliken,SP2,162.6,161.98355,0.61645,162.1394198,0.460580241
129_NWChem_1JCH_mulliken,SP2,159.4,158.762,0.638,159.06196,0.338039974
128_NWChem_1JCH_mulliken,SP2,158.1,157.4415,0.6585,157.800522,0.299477971
132_NWChem_1JCH_mulliken,SP2,151,150.322,0.678,150.9994559,0.000544094
132_NWChem_1JCH_mulliken,SP2,151,150.32035,0.67965,150.9978797,0.002120294
174_NWChem_1JCH_mulliken,SP2,161.9,161.21025,0.68975,161.4007071,0.499292852
146_NWChem_1JCH_mulliken,SP2,161,160.2613,0.7387,160.4942008,0.505799165
139_NWChem_1JCH_mulliken,SP2,155,154.1982,0.8018,154.7022851,0.297714891
152_NWChem_1JCH_mulliken,SP2,172.8,171.9601,0.8399,171.6697486,1.130251393
161_NWChem_1JCH_mulliken,SP2,184.6,183.6709,0.9291,182.8567597,1.743240344
174_NWChem_1JCH_mulliken,SP2,160.4,159.4513,0.9487,159.7204297,0.679570295
144_NWChem_1JCH_mulliken,SP2,160,159.041,0.959,159.3284812,0.671518807
110_NWChem_1JCH_mulliken,SP2,165.4,164.4094,0.9906,164.4567688,0.943231234
139_NWChem_1JCH_mulliken,SP2,159,157.9952,1.0048,158.3294567,0.67054331
136_NWChem_1JCH_mulliken,SP2,168.5,167.4528,1.0472,167.3640466,1.135953386
186_NWChem_1JCH_mulliken,SP2,157.5,156.4455,1.0545,156.8490701,0.650929878
173_NWChem_1JCH_mulliken,SP2,162.4,161.2921,1.1079,161.4788962,0.921103757
175_NWChem_1JCH_mulliken,SP2,156,154.8286,1.1714,155.3044892,0.695510792
112_NWChem_1JCH_mulliken,SP2,165,163.8174,1.1826,163.8912472,1.10875285
109_NWChem_1JCH_mulliken,SP2,169,167.806,1.194,167.701449,1.298550962
149_NWChem_1JCH_mulliken,SP2,182.7,181.4572,1.2428,180.7420718,1.957928184
146_NWChem_1JCH_mulliken,SP2,161,159.7517,1.2483,160.0073937,0.992606286
169_NWChem_1JCH_mulliken,SP2,161,159.72995,1.27005,159.9866165,1.013383474
170_NWChem_1JCH_mulliken,SP2,160,158.7271,1.2729,159.028621,0.971379002
169_NWChem_1JCH_mulliken,SP2,161,159.72455,1.27545,159.9814581,1.018541948
173_NWChem_1JCH_mulliken,SP2,163.7,162.4239,1.2761,162.5600742,1.139925775
176_NWChem_1JCH_mulliken,SP2,165.1,163.8126,1.2874,163.8866618,1.21333816
131_NWChem_1JCH_mulliken,SP2,164.3,163.0119,1.2881,163.1217747,1.178225251
170_NWChem_1JCH_mulliken,SP2,156,154.6662,1.3338,155.1493529,0.850647127
108_NWChem_1JCH_mulliken,SP2,161,159.5627,1.4373,159.8268471,1.173152883
144_NWChem_1JCH_mulliken,SP2,161,159.5208,1.4792,159.7868212,1.213178822
169_NWChem_1JCH_mulliken,SP2,162,160.46685,1.53315,160.6905572,1.3094428
170_NWChem_1JCH_mulliken,SP2,159,157.4591,1.5409,157.8173348,1.182665166
170_NWChem_1JCH_mulliken,SP2,156,154.446,1.554,154.9390018,1.060998242
152_NWChem_1JCH_mulliken,SP2,158.1,156.4647,1.6353,156.8674114,1.232588637
187_NWChem_1JCH_mulliken,SP2,166.2,164.5538,1.6462,164.5947102,1.605289813
168_NWChem_1JCH_mulliken,SP2,161,159.3495,1.6505,159.6231829,1.376817087
176_NWChem_1JCH_mulliken,SP2,162.8,161.1114,1.6886,161.3062784,1.493721588
91_NWChem_1JCH_mulliken,SP2,156.2,154.5013,1.6987,154.9918284,1.208171645
168_NWChem_1JCH_mulliken,SP2,162,160.2494,1.7506,160.4828331,1.517166914
136_NWChem_1JCH_mulliken,SP2,159,157.2213,1.7787,157.5901709,1.409829085
111_NWChem_1JCH_mulliken,SP2,163,161.1772,1.8228,161.3691354,1.630864624
168_NWChem_1JCH_mulliken,SP2,164,162.1732,1.8268,162.3205873,1.679412716
166_NWChem_1JCH_mulliken,SP2,164.3,162.4689,1.8311,162.6030615,1.69693849
169_NWChem_1JCH_mulliken,SP2,164,162.1551,1.8449,162.3032968,1.696703158
81_NWChem_1JCH_mulliken,SP2,151.9,150.0551,1.8449,150.7444935,1.155506458
146_NWChem_1JCH_mulliken,SP2,161,159.1428,1.8572,159.425728,1.574272016
165_NWChem_1JCH_mulliken,SP2,214,212.1,1.9,210.0143113,3.9856887
170_NWChem_1JCH_mulliken,SP2,160,158.0944,1.9056,158.4242198,1.575780229
130_NWChem_1JCH_mulliken,SP2,160,158.0751,1.9249,158.405783,1.594216998
200_NWChem_1JCH_mulliken,SP2,161,159.0685,1.9315,159.3547512,1.6452488
169_NWChem_1JCH_mulliken,SP2,162,160.0456,1.9544,160.2881484,1.711851551
151_NWChem_1JCH_mulliken,SP2,187.5,185.4781,2.0219,184.583129,2.916870979
131_NWChem_1JCH_mulliken,SP2,152.4,150.3057,2.0943,150.983885,1.416115044
131_NWChem_1JCH_mulliken,SP2,152.4,150.3055,2.0945,150.9836939,1.416306099
188_NWChem_1JCH_mulliken,SP2,163.5,161.39615,2.10385,161.5782924,1.921707601
168_NWChem_1JCH_mulliken,SP2,161,158.82495,2.17505,159.1220945,1.877905539
119_NWChem_1JCH_mulliken,SP2,168.6,166.3609,2.2391,166.320984,2.279015974
188_NWChem_1JCH_mulliken,SP2,163.5,161.2434,2.2566,161.4323744,2.067625552
148_NWChem_1JCH_mulliken,SP2,182.8,180.4788,2.3212,179.8074327,2.992567288
144_NWChem_1JCH_mulliken,SP2,162,159.6557,2.3443,159.9156875,2.084312494
90_NWChem_1JCH_mulliken,SP2,158.4,156.0545,2.3455,156.4755584,1.924441622
146_NWChem_1JCH_mulliken,SP2,163,160.5255,2.4745,160.746584,2.253416039
78_NWChem_1JCH_mulliken,SP2,154.5,151.9878,2.5122,152.5907497,1.909250331
141_NWChem_1JCH_mulliken,SP2,161,158.4301,2.5699,158.7449049,2.255095083
120_NWChem_1JCH_mulliken,SP2,173.7,171.1227,2.5773,170.869803,2.830197003
182_NWChem_1JCH_mulliken,SP2,199.5,196.8178,2.6822,195.4156383,4.084361741
144_NWChem_1JCH_mulliken,SP2,162,159.2792,2.7208,159.5560272,2.443972778
144_NWChem_1JCH_mulliken,SP2,165,162.2413,2.7587,162.3856414,2.614358625
165_NWChem_1JCH_mulliken,SP2,187.2,184.4,2.8,183.5532492,3.6467508
166_NWChem_1JCH_mulliken,SP2,162.9,160.057,2.843,160.2990386,2.600961439
137_NWChem_1JCH_mulliken,SP2,162,158.9349,3.0651,159.2271267,2.772873272
80_NWChem_1JCH_mulliken,SP2,165,161.8217,3.1783,161.9848088,3.015191176
166_NWChem_1JCH_mulliken,SP2,164.3,161.0369,3.2631,161.2351106,3.064889426
118_NWChem_1JCH_mulliken,SP2,172.4,169.1196,3.2804,168.9562957,3.443704349
152_NWChem_1JCH_mulliken,SP2,155.1,151.7314,3.3686,152.3458177,2.754182328
166_NWChem_1JCH_mulliken,SP2,164.3,160.8096,3.4904,161.017977,3.282022979
151_NWChem_1JCH_mulliken,SP2,188,184.4652,3.5348,183.615533,4.384467
184_NWChem_1JCH_mulliken,SP2,180.5,176.5412,3.9588,176.0459497,4.454050252
92_NWChem_1JCH_mulliken,SP2,156,151.3676,4.6324,151.9982894,4.001710645
147_NWChem_1JCH_mulliken,SP2,169.9,165.2022,4.6978,165.2141092,4.685890799
112_NWChem_1JCH_mulliken,SP2,182,177.254,4.746,176.7268683,5.273131658
108_NWChem_1JCH_mulliken,SP2,162,157.2348,4.7652,157.6030671,4.3969329
110_NWChem_1JCH_mulliken,SP2,176.7,171.8438,4.8562,171.5586504,5.141349643
66_NWChem_1JCH_mulliken,SP1,247,259.4628,-12.4628,247.92698,-0.92698
192_NWChem_1JCH_mulliken,SP1,247.4,265.4909,-18.0909,253.95508,-6.55508
190_NWChem_1JCH_mulliken,SP1,248,259.4645,-11.4645,247.92868,0.07132
63_NWChem_1JCH_mulliken,SP1,249,260.9445,-11.9445,249.40868,-0.40868
191_NWChem_1JCH_mulliken,SP1,251,261.0429,-10.0429,249.50708,1.49292
193_NWChem_1JCH_mulliken,SP1,259,271.3989,-12.3989,259.86308,-0.86308
199_NWChem_1JCH_mulliken,SP1,267,270.863,-3.863,259.32718,7.67282
194_NWChem_1JCH_mulliken,SP1,269,280.5451,-11.5451,269.00928,-0.00928
197_NWChem_1JCH_mulliken,SP1,270,278.5777,-8.5777,267.04188,2.95812
198_NWChem_1JCH_mulliken,SP1,277.5,292.4679,-14.9679,280.93208,-3.43208
